hex_id,score
88281cb8e5fffff,1.0
88281cb833fffff,1.0
88281cb837fffff,1.0
88281cb83bfffff,1.0
88281cb8edfffff,1.0
88281cb831fffff,1.0
88281c8e09fffff,1.0
88281c8e41fffff,1.0
88281c8e0dfffff,1.0
88281c8e43fffff,1.0
88281c8e6bfffff,1.0
88281c8e47fffff,1.0
88281c1635fffff,1.0
88281c163dfffff,1.0
88281c1621fffff,1.0
88281c1623fffff,1.0
88281c162bfffff,1.0
88281c86b9fffff,0.4
88281c86b3fffff,1.0
88281c86bdfffff,0.6000000000000001
88281c86bbfffff,0.8
88281c86b7fffff,1.0
88281c86b5fffff,1.0
88281c86b1fffff,1.0
88281cb949fffff,1.0
88281cbb27fffff,1.0
88281c8c9bfffff,1.0
88281cb941fffff,1.0
88281cb94dfffff,1.0
88281cb945fffff,1.0
88281ca1e5fffff,1.0
88281ca137fffff,1.0
88281caad9fffff,1.0
88281ca133fffff,1.0
88281ca13bfffff,1.0
88281ca131fffff,1.0
88281cba63fffff,1.0
88281cba61fffff,1.0
88281cba67fffff,1.0
88281cba29fffff,1.0
88281cba65fffff,1.0
88281cbb5bfffff,1.0
88281caae7fffff,1.0
88281caaa9fffff,1.0
88281caaa1fffff,1.0
88281cb325fffff,1.0
88281cb321fffff,1.0
88281cb32dfffff,1.0
88281cb327fffff,1.0
88281c8499fffff,1.0
88281c849bfffff,1.0
88281c8c13fffff,1.0
88281c8c17fffff,1.0
88281c8c1bfffff,1.0
88281c8ce9fffff,1.0
88281c8c11fffff,1.0
88281c8cc5fffff,1.0
88281c8c33fffff,1.0
88281c8dd9fffff,1.0
88281c8c31fffff,1.0
88281c8cedfffff,1.0
88281c8c3bfffff,1.0
88281c8ce5fffff,1.0
88281c8c37fffff,1.0
88281c8195fffff,1.0
88281c8183fffff,1.0
88281c819dfffff,1.0
88281c818bfffff,1.0
88281c81b9fffff,1.0
88281c8187fffff,0.5
88281c8181fffff,0.5
88281ca03dfffff,1.0
88281ca031fffff,1.0
88281ca007fffff,1.0
88281ca03bfffff,0.6000000000000001
88281ca039fffff,1.0
88281ca003fffff,0.8
88281ca015fffff,0.4
88281cb363fffff,1.0
88281cb329fffff,1.0
88281cb32bfffff,1.0
88281cb301fffff,1.0
88281cb305fffff,1.0
88281cb307fffff,1.0
88281caac9fffff,1.0
88281ca135fffff,1.0
88281caac1fffff,1.0
88281ca127fffff,1.0
88281ca123fffff,1.0
88281caacbfffff,1.0
88281ca025fffff,1.0
88281ca157fffff,1.0
88281ca151fffff,1.0
88281ca15bfffff,1.0
88281ca153fffff,1.0
88281c1643fffff,1.0
88281c1641fffff,1.0
88281c1647fffff,1.0
88281c165dfffff,1.0
88281c164bfffff,1.0
